Date,Load
05/01/2025 01.30,58.8
05/01/2025 01.45,60
05/01/2025 02.00,50.4
05/01/2025 02.15,54
05/01/2025 02.30,55.2
05/01/2025 02.45,49.2
05/01/2025 03.00,54
05/01/2025 03.15,51.6
05/01/2025 03.30,51.6
05/01/2025 03.45,50.4
05/01/2025 04.00,50.4
05/01/2025 04.15,50.4
05/01/2025 04.30,50.4
05/01/2025 04.45,51.6
05/01/2025 05.00,54
05/01/2025 05.15,60
05/01/2025 05.30,57.6
05/01/2025 05.45,66
05/01/2025 06.00,56.4
05/01/2025 06.15,57.6
05/01/2025 06.30,55.2
05/01/2025 06.45,61.2
05/01/2025 07.00,62.4
05/01/2025 07.15,64.8
05/01/2025 07.30,73.2
05/01/2025 07.45,81.6
05/01/2025 08.00,86.4
05/01/2025 08.15,87.6
05/01/2025 08.30,80.4
05/01/2025 08.45,69.6
05/01/2025 09.00,63.6
05/01/2025 09.15,64.8
05/01/2025 09.30,78
05/01/2025 09.45,79.2
05/01/2025 10.00,80.4
05/01/2025 10.15,79.2
05/01/2025 10.30,120
05/01/2025 10.45,127.2
05/01/2025 11.00,121.2
05/01/2025 11.15,135.6
05/01/2025 11.30,127.2
05/01/2025 11.45,148.8
05/01/2025 12.00,164.4
05/01/2025 12.15,140.4
05/01/2025 12.30,144
05/01/2025 12.45,144
05/01/2025 13.00,126
05/01/2025 13.15,142.8
05/01/2025 13.30,146.4
05/01/2025 13.45,138
05/01/2025 14.00,138
05/01/2025 14.15,147.6
05/01/2025 14.30,151.2
05/01/2025 14.45,150
05/01/2025 15.00,151.2
05/01/2025 15.15,141.6
05/01/2025 15.30,134.4
05/01/2025 15.45,138
05/01/2025 16.00,138
05/01/2025 16.15,146.4
05/01/2025 16.30,148.8
05/01/2025 16.45,132
05/01/2025 17.00,86.4
05/01/2025 17.15,87.6
05/01/2025 17.30,82.8
05/01/2025 17.45,78
05/01/2025 18.00,56.4
05/01/2025 18.15,55.2
05/01/2025 18.30,60
05/01/2025 18.45,64.8
05/01/2025 19.00,62.4
05/01/2025 19.15,62.4
05/01/2025 19.30,66
05/01/2025 19.45,66
05/01/2025 20.00,61.2
05/01/2025 20.15,64.8
05/01/2025 20.30,57.6
05/01/2025 20.45,64.8
05/01/2025 21.00,74.4
05/01/2025 21.15,80.4
05/01/2025 21.30,73.2
05/01/2025 21.45,70.8
05/01/2025 22.00,64.8
05/01/2025 22.15,67.2
05/01/2025 22.30,56.4
05/01/2025 22.45,60
05/01/2025 23.00,64.8
05/01/2025 23.15,68.4
05/01/2025 23.30,69.6
05/01/2025 23.45,69.6
06/01/2025 00.00,72
06/01/2025 00.15,72
06/01/2025 00.30,70.8
06/01/2025 00.45,67.2
06/01/2025 01.00,58.8
06/01/2025 01.15,60
06/01/2025 01.30,61.2
06/01/2025 01.45,62.4
06/01/2025 02.00,51.6
06/01/2025 02.15,51.6
06/01/2025 02.30,50.4
06/01/2025 02.45,48
06/01/2025 03.00,48
06/01/2025 03.15,46.8
06/01/2025 03.30,48
06/01/2025 03.45,48
06/01/2025 04.00,51.6
06/01/2025 04.15,50.4
06/01/2025 04.30,49.2
06/01/2025 04.45,49.2
06/01/2025 05.00,51.6
06/01/2025 05.15,54
06/01/2025 05.30,54
06/01/2025 05.45,48
06/01/2025 06.00,63.6
06/01/2025 06.15,55.2
06/01/2025 06.30,57.6
06/01/2025 06.45,58.8
06/01/2025 07.00,96
06/01/2025 07.15,208.8
06/01/2025 07.30,211.2
06/01/2025 07.45,228
06/01/2025 08.00,214.8
06/01/2025 08.15,208.8
06/01/2025 08.30,225.6
06/01/2025 08.45,246
06/01/2025 09.00,250.8
06/01/2025 09.15,246
06/01/2025 09.30,237.6
06/01/2025 09.45,248.4
06/01/2025 10.00,256.8
06/01/2025 10.15,253.2
06/01/2025 10.30,249.6
06/01/2025 10.45,255.6
06/01/2025 11.00,250.8
06/01/2025 11.15,247.2
06/01/2025 11.30,243.6
06/01/2025 11.45,242.4
06/01/2025 12.00,241.2
06/01/2025 12.15,232.8
06/01/2025 12.30,235.2
06/01/2025 12.45,240
06/01/2025 13.00,237.6
06/01/2025 13.15,254.4
06/01/2025 13.30,260.4
06/01/2025 13.45,252
06/01/2025 14.00,250.8
06/01/2025 14.15,252
06/01/2025 14.30,248.4
06/01/2025 14.45,253.2
06/01/2025 15.00,230.4
06/01/2025 15.15,217.2
06/01/2025 15.30,213.6
06/01/2025 15.45,214.8
06/01/2025 16.00,214.8
06/01/2025 16.15,214.8
06/01/2025 16.30,210
06/01/2025 16.45,208.8
06/01/2025 17.00,162
06/01/2025 17.15,80.4
06/01/2025 17.30,63.6
06/01/2025 17.45,72
06/01/2025 18.00,70.8
06/01/2025 18.15,78
06/01/2025 18.30,80.4
06/01/2025 18.45,69.6
06/01/2025 19.00,75.6
06/01/2025 19.15,74.4
06/01/2025 19.30,80.4
06/01/2025 19.45,76.8
06/01/2025 20.00,75.6
06/01/2025 20.15,76.8
06/01/2025 20.30,75.6
06/01/2025 20.45,76.8
06/01/2025 21.00,74.4
06/01/2025 21.15,74.4
06/01/2025 21.30,70.8
06/01/2025 21.45,64.8
06/01/2025 22.00,55.2
06/01/2025 22.15,55.2
06/01/2025 22.30,60
06/01/2025 22.45,58.8
06/01/2025 23.00,58.8
06/01/2025 23.15,51.6
06/01/2025 23.30,49.2
06/01/2025 23.45,51.6
07/01/2025 00.00,49.2
07/01/2025 00.15,54
07/01/2025 00.30,49.2
07/01/2025 00.45,54
07/01/2025 01.00,61.2
07/01/2025 01.15,51.6
07/01/2025 01.30,57.6
07/01/2025 01.45,56.4
07/01/2025 02.00,58.8
07/01/2025 02.15,61.2
07/01/2025 02.30,57.6
07/01/2025 02.45,52.8
07/01/2025 03.00,49.2
07/01/2025 03.15,49.2
07/01/2025 03.30,48
07/01/2025 03.45,48
07/01/2025 04.00,51.6
07/01/2025 04.15,48
07/01/2025 04.30,49.2
07/01/2025 04.45,48
07/01/2025 05.00,61.2
07/01/2025 05.15,69.6
07/01/2025 05.30,74.4
07/01/2025 05.45,72
07/01/2025 06.00,69.6
07/01/2025 06.15,68.4
07/01/2025 06.30,73.2
07/01/2025 06.45,70.8
07/01/2025 07.00,75.6
07/01/2025 07.15,78
07/01/2025 07.30,79.2
07/01/2025 07.45,80.4
07/01/2025 08.00,86.4
07/01/2025 08.15,74.4
07/01/2025 08.30,72
07/01/2025 08.45,81.6
07/01/2025 09.00,79.2
07/01/2025 09.15,86.4
07/01/2025 09.30,96
07/01/2025 09.45,108
07/01/2025 10.00,128.4
07/01/2025 10.15,128.4
07/01/2025 10.30,123.6
07/01/2025 10.45,145.2
07/01/2025 11.00,150
07/01/2025 11.15,116.4
07/01/2025 11.30,112.8
07/01/2025 11.45,116.4
07/01/2025 12.00,86.4
07/01/2025 12.15,58.8
07/01/2025 12.30,67.2
07/01/2025 12.45,70.8
07/01/2025 13.00,102
07/01/2025 13.15,130.8
07/01/2025 13.30,132
07/01/2025 13.45,132
07/01/2025 14.00,145.2
07/01/2025 14.15,159.6
07/01/2025 14.30,150
07/01/2025 14.45,146.4
07/01/2025 15.00,133.2
07/01/2025 15.15,124.8
07/01/2025 15.30,127.2
07/01/2025 15.45,126
07/01/2025 16.00,130.8
07/01/2025 16.15,136.8
07/01/2025 16.30,133.2
07/01/2025 16.45,132
07/01/2025 17.00,110.4
07/01/2025 17.15,91.2
07/01/2025 17.30,73.2
07/01/2025 17.45,49.2
07/01/2025 18.00,55.2
07/01/2025 18.15,67.2
07/01/2025 18.30,76.8
07/01/2025 18.45,81.6
07/01/2025 19.00,84
07/01/2025 19.15,79.2
07/01/2025 19.30,70.8
07/01/2025 19.45,62.4
07/01/2025 20.00,58.8
07/01/2025 20.15,52.8
07/01/2025 20.30,57.6
07/01/2025 20.45,68.4
07/01/2025 21.00,69.6
07/01/2025 21.15,74.4
07/01/2025 21.30,74.4
07/01/2025 21.45,70.8
07/01/2025 22.00,75.6
07/01/2025 22.15,76.8
07/01/2025 22.30,69.6
07/01/2025 22.45,70.8
07/01/2025 23.00,73.2
07/01/2025 23.15,74.4
07/01/2025 23.30,82.8
07/01/2025 23.45,85.2
08/01/2025 00.00,79.2
08/01/2025 00.15,80.4
08/01/2025 00.30,74.4
08/01/2025 00.45,79.2
08/01/2025 01.00,70.8
08/01/2025 01.15,64.8
08/01/2025 01.30,64.8
08/01/2025 01.45,68.4
08/01/2025 02.00,64.8
08/01/2025 02.15,60
08/01/2025 02.30,58.8
08/01/2025 02.45,58.8
08/01/2025 03.00,66
08/01/2025 03.15,64.8
08/01/2025 03.30,62.4
08/01/2025 03.45,61.2
08/01/2025 04.00,63.6
08/01/2025 04.15,63.6
08/01/2025 04.30,62.4
08/01/2025 04.45,66
08/01/2025 05.00,73.2
08/01/2025 05.15,72
08/01/2025 05.30,75.6
08/01/2025 05.45,69.6
08/01/2025 06.00,97.2
08/01/2025 06.15,93.6
08/01/2025 06.30,93.6
08/01/2025 06.45,82.8
08/01/2025 07.00,86.4
08/01/2025 07.15,96
08/01/2025 07.30,97.2
08/01/2025 07.45,91.2
08/01/2025 08.00,97.2
08/01/2025 08.15,97.2
08/01/2025 08.30,100.8
08/01/2025 08.45,96
08/01/2025 09.00,102
08/01/2025 09.15,100.8
08/01/2025 09.30,108
08/01/2025 09.45,93.6
08/01/2025 10.00,90
08/01/2025 10.15,96
08/01/2025 10.30,96
08/01/2025 10.45,96
08/01/2025 11.00,103.2
08/01/2025 11.15,102
08/01/2025 11.30,100.8
08/01/2025 11.45,99.6
08/01/2025 12.00,100.8
08/01/2025 12.15,87.6
08/01/2025 12.30,91.2
08/01/2025 12.45,80.4
08/01/2025 13.00,88.8
08/01/2025 13.15,85.2
08/01/2025 13.30,104.4
08/01/2025 13.45,148.8
08/01/2025 14.00,172.8
08/01/2025 14.15,211.2
08/01/2025 14.30,226.8
08/01/2025 14.45,231.6
08/01/2025 15.00,249.6
08/01/2025 15.15,254.4
08/01/2025 15.30,256.8
08/01/2025 15.45,258
08/01/2025 16.00,252
08/01/2025 16.15,248.4
08/01/2025 16.30,231.6
08/01/2025 16.45,271.2
08/01/2025 17.00,276
08/01/2025 17.15,241.2
08/01/2025 17.30,242.4
08/01/2025 17.45,234
08/01/2025 18.00,252
08/01/2025 18.15,236.4
08/01/2025 18.30,229.2
08/01/2025 18.45,228
08/01/2025 19.00,248.4
08/01/2025 19.15,228
08/01/2025 19.30,256.8
08/01/2025 19.45,260.4
08/01/2025 20.00,242.4
08/01/2025 20.15,231.6
08/01/2025 20.30,234
08/01/2025 20.45,264
08/01/2025 21.00,261.6
08/01/2025 21.15,152.4
08/01/2025 21.30,154.8
08/01/2025 21.45,158.4
08/01/2025 22.00,136.8
08/01/2025 22.15,136.8
08/01/2025 22.30,135.6
08/01/2025 22.45,146.4
08/01/2025 23.00,115.2
08/01/2025 23.15,112.8
08/01/2025 23.30,116.4
08/01/2025 23.45,110.4
09/01/2025 00.00,106.8
09/01/2025 00.15,94.8
09/01/2025 00.30,78
09/01/2025 00.45,80.4
09/01/2025 01.00,90
09/01/2025 01.15,69.6
09/01/2025 01.30,69.6
09/01/2025 01.45,69.6
09/01/2025 02.00,64.8
09/01/2025 02.15,67.2
09/01/2025 02.30,61.2
09/01/2025 02.45,56.4
09/01/2025 03.00,60
09/01/2025 03.15,54
09/01/2025 03.30,58.8
09/01/2025 03.45,61.2
09/01/2025 04.00,60
09/01/2025 04.15,58.8
09/01/2025 04.30,60
09/01/2025 04.45,55.2
09/01/2025 05.00,61.2
09/01/2025 05.15,62.4
09/01/2025 05.30,67.2
09/01/2025 05.45,62.4
09/01/2025 06.00,74.4
09/01/2025 06.15,97.2
09/01/2025 06.30,88.8
09/01/2025 06.45,93.6
09/01/2025 07.00,114
09/01/2025 07.15,115.2
09/01/2025 07.30,114
09/01/2025 07.45,109.2
09/01/2025 08.00,105.6
09/01/2025 08.15,123.6
09/01/2025 08.30,126
09/01/2025 08.45,136.8
09/01/2025 09.00,134.4
09/01/2025 09.15,130.8
09/01/2025 09.30,141.6
09/01/2025 09.45,249.6
09/01/2025 10.00,258
09/01/2025 10.15,272.4
09/01/2025 10.30,283.2
09/01/2025 10.45,265.2
09/01/2025 11.00,262.8
09/01/2025 11.15,248.4
09/01/2025 11.30,240
